siren,raison_sociale,secteur_naf,secteur_libelle,effectif_estime,effectif_min,effectif_max,obligation_beges,beges_publie,beges_valide,beges_decret_2022_compliant,contact_telephone,contact_email,contact_linkedin,statut
100001057,Entreprise 01057 SAS,C,Industrie manufacturière,34,20,49,False,False,,,False,False,True,sourced
100001058,Entreprise 01058 SAS,G,"Commerce, réparation auto",186,100,199,False,False,,,False,True,True,sourced
100001059,Entreprise 01059 SAS,N,Services administratifs et soutien,18,10,19,False,False,,,True,False,False,sourced
100001060,Entreprise 01060 SAS,M,Activités spé. scientifiques/techniques,23,20,49,False,False,,,True,False,True,contacted
100001061,Entreprise 01061 SAS,G,"Commerce, réparation auto",27,20,49,False,False,,,True,True,True,sourced
100001062,Entreprise 01062 SAS,I,Hébergement et restauration,13,10,19,False,False,,,False,True,False,qualified
100001063,Entreprise 01063 SAS,N,Services administratifs et soutien,1,1,2,False,False,,,True,False,True,sourced
100001064,Entreprise 01064 SAS,G,"Commerce, réparation auto",20,20,49,False,False,,,False,True,True,sourced
100001065,Entreprise 01065 SAS,N,Services administratifs et soutien,94,50,99,False,False,,,False,True,False,sourced
100001066,Entreprise 01066 SAS,G,"Commerce, réparation auto",42,20,49,False,False,,,False,False,False,sourced
100001067,Entreprise 01067 SAS,F,Construction,33,20,49,False,False,,,False,True,True,sourced
100001068,Entreprise 01068 SAS,C,Industrie manufacturière,39,20,49,False,False,,,False,False,True,sourced
100001069,Entreprise 01069 SAS,G,"Commerce, réparation auto",4,3,5,False,False,,,False,False,True,sourced
100001070,Entreprise 01070 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,True,sourced
100001071,Entreprise 01071 SAS,H,Transports et entreposage,186,100,199,False,False,,,False,False,True,sourced
100001072,Entreprise 01072 SAS,H,Transports et entreposage,18,10,19,False,False,,,False,False,False,sourced
100001073,Entreprise 01073 SAS,I,Hébergement et restauration,300,250,499,False,False,,,False,False,True,sourced
100001074,Entreprise 01074 SAS,Q,Santé humaine et action sociale,62,50,99,False,False,,,True,False,False,qualified
100001075,Entreprise 01075 SAS,F,Construction,90,50,99,False,False,,,True,False,False,sourced
100001076,Entreprise 01076 SAS,M,Activités spé. scientifiques/techniques,5,3,5,False,False,,,False,True,False,qualified
100001077,Entreprise 01077 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,False,False,False,sourced
100001078,Entreprise 01078 SAS,C,Industrie manufacturière,1268,1000,1999,True,True,True,True,False,False,True,sourced
100001079,Entreprise 01079 SAS,F,Construction,462,250,499,False,False,,,True,True,True,sourced
100001080,Entreprise 01080 SAS,J,Information et communication,802,500,999,True,False,,,False,False,True,qualified
100001081,Entreprise 01081 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,True,True,True,sourced
100001082,Entreprise 01082 SAS,F,Construction,278,250,499,False,False,,,True,False,True,rejected
100001083,Entreprise 01083 SAS,K,Activités financières et assurance,14,10,19,False,False,,,False,False,False,sourced
100001084,Entreprise 01084 SAS,S,Autres services,1,1,2,False,False,,,False,True,True,sourced
100001085,Entreprise 01085 SAS,G,"Commerce, réparation auto",8,6,9,False,False,,,True,True,True,sourced
100001086,Entreprise 01086 SAS,G,"Commerce, réparation auto",7,6,9,False,False,,,False,False,False,qualified
100001087,Entreprise 01087 SAS,Q,Santé humaine et action sociale,13,10,19,False,False,,,True,True,True,rejected
100001088,Entreprise 01088 SAS,C,Industrie manufacturière,35,20,49,False,False,,,False,False,True,sourced
100001089,Entreprise 01089 SAS,F,Construction,43,20,49,False,False,,,True,False,False,sourced
100001090,Entreprise 01090 SAS,G,"Commerce, réparation auto",1260,1000,1999,True,False,,,False,True,True,sourced
100001091,Entreprise 01091 SAS,M,Activités spé. scientifiques/techniques,18,10,19,False,False,,,True,False,True,sourced
100001092,Entreprise 01092 SAS,M,Activités spé. scientifiques/techniques,1359,1000,1999,True,True,False,,False,True,True,contacted
100001093,Entreprise 01093 SAS,F,Construction,1270,1000,1999,True,True,True,True,True,False,True,sourced
100001094,Entreprise 01094 SAS,S,Autres services,5,3,5,False,False,,,False,False,False,contacted
100001095,Entreprise 01095 SAS,S,Autres services,22,20,49,False,False,,,False,False,True,sourced
100001096,Entreprise 01096 SAS,F,Construction,2,1,2,False,False,,,False,True,True,sourced
100001097,Entreprise 01097 SAS,N,Services administratifs et soutien,5,3,5,False,False,,,False,True,True,sourced
100001098,Entreprise 01098 SAS,K,Activités financières et assurance,242,200,249,False,False,,,True,False,True,sourced
100001099,Entreprise 01099 SAS,M,Activités spé. scientifiques/techniques,522,500,999,True,True,False,,False,False,False,sourced
100001100,Entreprise 01100 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,True,False,False,sourced
100001101,Entreprise 01101 SAS,Q,Santé humaine et action sociale,446,250,499,False,False,,,False,False,True,sourced
100001102,Entreprise 01102 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,False,False,False,contacted
100001103,Entreprise 01103 SAS,C,Industrie manufacturière,2,1,2,False,False,,,True,False,False,sourced
100001104,Entreprise 01104 SAS,G,"Commerce, réparation auto",10,10,19,False,False,,,True,True,True,sourced
100001105,Entreprise 01105 SAS,F,Construction,1,1,2,False,False,,,False,True,True,sourced
100001106,Entreprise 01106 SAS,G,"Commerce, réparation auto",40,20,49,False,False,,,False,False,True,sourced
100001107,Entreprise 01107 SAS,G,"Commerce, réparation auto",191,100,199,False,False,,,True,False,True,sourced
100001108,Entreprise 01108 SAS,J,Information et communication,4,3,5,False,False,,,True,True,True,sourced
100001109,Entreprise 01109 SAS,C,Industrie manufacturière,22,20,49,False,False,,,False,False,True,qualified
100001110,Entreprise 01110 SAS,M,Activités spé. scientifiques/techniques,61,50,99,False,False,,,False,False,False,contacted
100001111,Entreprise 01111 SAS,H,Transports et entreposage,1,1,2,False,False,,,True,False,False,contacted
100001112,Entreprise 01112 SAS,I,Hébergement et restauration,79,50,99,False,False,,,True,False,True,sourced
100001113,Entreprise 01113 SAS,S,Autres services,7,6,9,False,False,,,True,False,True,rejected
100001114,Entreprise 01114 SAS,G,"Commerce, réparation auto",26,20,49,False,False,,,False,False,True,sourced
100001115,Entreprise 01115 SAS,N,Services administratifs et soutien,9,6,9,False,False,,,False,True,True,sourced
100001116,Entreprise 01116 SAS,C,Industrie manufacturière,4,3,5,False,False,,,False,False,True,sourced
100001117,Entreprise 01117 SAS,F,Construction,208,200,249,False,False,,,False,False,True,qualified
100001118,Entreprise 01118 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,True,False,True,sourced
100001119,Entreprise 01119 SAS,S,Autres services,6,6,9,False,False,,,False,True,False,sourced
100001120,Entreprise 01120 SAS,C,Industrie manufacturière,1,1,2,False,False,,,True,True,False,sourced
100001121,Entreprise 01121 SAS,I,Hébergement et restauration,1,1,2,False,False,,,False,True,True,sourced
100001122,Entreprise 01122 SAS,J,Information et communication,10,10,19,False,False,,,False,False,True,qualified
100001123,Entreprise 01123 SAS,Q,Santé humaine et action sociale,20,20,49,False,False,,,False,True,False,sourced
100001124,Entreprise 01124 SAS,Q,Santé humaine et action sociale,2,1,2,False,False,,,True,True,False,qualified
100001125,Entreprise 01125 SAS,M,Activités spé. scientifiques/techniques,4,3,5,False,False,,,True,False,True,sourced
100001126,Entreprise 01126 SAS,S,Autres services,3333,2000,4999,True,True,True,False,True,False,True,sourced
100001127,Entreprise 01127 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,False,True,False,sourced
100001128,Entreprise 01128 SAS,F,Construction,2,1,2,False,False,,,False,True,False,contacted
100001129,Entreprise 01129 SAS,I,Hébergement et restauration,954,500,999,True,False,,,False,False,True,sourced
100001130,Entreprise 01130 SAS,S,Autres services,1047,1000,1999,True,False,,,False,False,True,sourced
100001131,Entreprise 01131 SAS,M,Activités spé. scientifiques/techniques,13,10,19,False,False,,,False,False,False,sourced
100001132,Entreprise 01132 SAS,C,Industrie manufacturière,6,6,9,False,False,,,False,True,False,sourced
100001133,Entreprise 01133 SAS,C,Industrie manufacturière,460,250,499,False,False,,,False,True,True,sourced
100001134,Entreprise 01134 SAS,F,Construction,1197,1000,1999,True,True,False,,False,True,False,qualified
100001135,Entreprise 01135 SAS,N,Services administratifs et soutien,1,1,2,False,False,,,True,True,True,contacted
100001136,Entreprise 01136 SAS,S,Autres services,8,6,9,False,False,,,False,True,True,sourced
100001137,Entreprise 01137 SAS,H,Transports et entreposage,258,250,499,False,False,,,False,True,False,sourced
100001138,Entreprise 01138 SAS,S,Autres services,24,20,49,False,False,,,False,False,True,qualified
100001139,Entreprise 01139 SAS,C,Industrie manufacturière,277,250,499,False,False,,,True,False,True,sourced
100001140,Entreprise 01140 SAS,C,Industrie manufacturière,963,500,999,True,True,False,,True,True,True,sourced
100001141,Entreprise 01141 SAS,F,Construction,8,6,9,False,False,,,True,True,True,sourced
100001142,Entreprise 01142 SAS,F,Construction,31,20,49,False,False,,,False,False,False,qualified
100001143,Entreprise 01143 SAS,F,Construction,1,1,2,False,False,,,False,False,True,sourced
100001144,Entreprise 01144 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,True,False,True,sourced
100001145,Entreprise 01145 SAS,S,Autres services,415,250,499,False,False,,,True,True,True,sourced
100001146,Entreprise 01146 SAS,S,Autres services,10,10,19,False,False,,,False,False,False,sourced
100001147,Entreprise 01147 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,False,True,sourced
100001148,Entreprise 01148 SAS,G,"Commerce, réparation auto",98,50,99,False,False,,,True,False,True,qualified
100001149,Entreprise 01149 SAS,H,Transports et entreposage,2,1,2,False,False,,,False,False,False,sourced
100001150,Entreprise 01150 SAS,G,"Commerce, réparation auto",5335,5000,9999,True,True,True,False,False,True,False,sourced
100001151,Entreprise 01151 SAS,M,Activités spé. scientifiques/techniques,64,50,99,False,False,,,True,False,False,sourced
100001152,Entreprise 01152 SAS,C,Industrie manufacturière,1,1,2,False,False,,,False,True,True,sourced
100001153,Entreprise 01153 SAS,M,Activités spé. scientifiques/techniques,27,20,49,False,False,,,False,False,True,sourced
100001154,Entreprise 01154 SAS,I,Hébergement et restauration,31,20,49,False,False,,,False,True,True,sourced
100001155,Entreprise 01155 SAS,I,Hébergement et restauration,149,100,199,False,False,,,False,True,True,sourced
100001156,Entreprise 01156 SAS,M,Activités spé. scientifiques/techniques,31,20,49,False,False,,,True,True,False,qualified
100001157,Entreprise 01157 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,True,qualified
100001158,Entreprise 01158 SAS,G,"Commerce, réparation auto",725,500,999,True,False,,,False,True,True,sourced
100001159,Entreprise 01159 SAS,C,Industrie manufacturière,34,20,49,False,False,,,True,False,False,sourced
100001160,Entreprise 01160 SAS,M,Activités spé. scientifiques/techniques,20,20,49,False,False,,,False,True,True,qualified
100001161,Entreprise 01161 SAS,M,Activités spé. scientifiques/techniques,45,20,49,False,False,,,False,False,False,sourced
100001162,Entreprise 01162 SAS,F,Construction,35,20,49,False,False,,,False,True,True,qualified
100001163,Entreprise 01163 SAS,G,"Commerce, réparation auto",7,6,9,False,False,,,True,True,True,rejected
100001164,Entreprise 01164 SAS,F,Construction,1,1,2,False,False,,,False,False,False,qualified
100001165,Entreprise 01165 SAS,M,Activités spé. scientifiques/techniques,4,3,5,False,False,,,False,False,False,qualified
100001166,Entreprise 01166 SAS,S,Autres services,12,10,19,False,False,,,True,False,True,qualified
100001167,Entreprise 01167 SAS,Q,Santé humaine et action sociale,118,100,199,False,False,,,False,True,False,sourced
100001168,Entreprise 01168 SAS,F,Construction,21,20,49,False,False,,,False,False,False,sourced
100001169,Entreprise 01169 SAS,G,"Commerce, réparation auto",9,6,9,False,False,,,False,False,True,sourced
100001170,Entreprise 01170 SAS,G,"Commerce, réparation auto",17,10,19,False,False,,,False,False,True,sourced
100001171,Entreprise 01171 SAS,F,Construction,1,1,2,False,False,,,False,True,True,qualified
100001172,Entreprise 01172 SAS,M,Activités spé. scientifiques/techniques,1308,1000,1999,True,True,False,,False,False,True,sourced
100001173,Entreprise 01173 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,False,False,False,qualified
100001174,Entreprise 01174 SAS,F,Construction,42,20,49,False,False,,,False,False,True,qualified
100001175,Entreprise 01175 SAS,M,Activités spé. scientifiques/techniques,570,500,999,True,True,True,True,False,False,True,sourced
100001176,Entreprise 01176 SAS,G,"Commerce, réparation auto",14,10,19,False,False,,,False,False,True,sourced
100001177,Entreprise 01177 SAS,G,"Commerce, réparation auto",13,10,19,False,False,,,False,True,False,sourced
100001178,Entreprise 01178 SAS,G,"Commerce, réparation auto",4,3,5,False,False,,,False,True,False,sourced
100001179,Entreprise 01179 SAS,F,Construction,217,200,249,False,False,,,False,False,True,sourced
100001180,Entreprise 01180 SAS,S,Autres services,350,250,499,False,False,,,False,False,False,sourced
100001181,Entreprise 01181 SAS,I,Hébergement et restauration,65,50,99,False,False,,,False,False,False,qualified
100001182,Entreprise 01182 SAS,F,Construction,617,500,999,True,False,,,True,False,True,sourced
100001183,Entreprise 01183 SAS,G,"Commerce, réparation auto",194,100,199,False,False,,,False,False,False,sourced
100001184,Entreprise 01184 SAS,C,Industrie manufacturière,113,100,199,False,False,,,True,False,True,sourced
100001185,Entreprise 01185 SAS,C,Industrie manufacturière,1,1,2,False,False,,,False,False,False,sourced
100001186,Entreprise 01186 SAS,I,Hébergement et restauration,486,250,499,False,False,,,False,True,True,sourced
100001187,Entreprise 01187 SAS,G,"Commerce, réparation auto",35,20,49,False,False,,,False,True,False,sourced
100001188,Entreprise 01188 SAS,C,Industrie manufacturière,793,500,999,True,False,,,False,True,False,contacted
100001189,Entreprise 01189 SAS,G,"Commerce, réparation auto",23,20,49,False,False,,,False,False,False,sourced
100001190,Entreprise 01190 SAS,M,Activités spé. scientifiques/techniques,25,20,49,False,False,,,False,False,True,sourced
100001191,Entreprise 01191 SAS,H,Transports et entreposage,42,20,49,False,False,,,False,True,True,sourced
100001192,Entreprise 01192 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,False,False,sourced
100001193,Entreprise 01193 SAS,M,Activités spé. scientifiques/techniques,5,3,5,False,False,,,True,False,True,sourced
100001194,Entreprise 01194 SAS,S,Autres services,17,10,19,False,False,,,False,True,False,sourced
100001195,Entreprise 01195 SAS,G,"Commerce, réparation auto",554,500,999,True,True,False,,True,True,False,qualified
100001196,Entreprise 01196 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,False,False,True,sourced
100001197,Entreprise 01197 SAS,F,Construction,2502,2000,4999,True,True,True,True,False,True,True,sourced
100001198,Entreprise 01198 SAS,J,Information et communication,6,6,9,False,False,,,False,False,True,sourced
100001199,Entreprise 01199 SAS,C,Industrie manufacturière,5,3,5,False,False,,,False,False,True,qualified
100001200,Entreprise 01200 SAS,G,"Commerce, réparation auto",57,50,99,False,False,,,False,True,True,sourced
100001201,Entreprise 01201 SAS,S,Autres services,4,3,5,False,False,,,True,False,True,sourced
100001202,Entreprise 01202 SAS,C,Industrie manufacturière,20,20,49,False,False,,,True,False,True,sourced
100001203,Entreprise 01203 SAS,G,"Commerce, réparation auto",733,500,999,True,True,True,True,True,False,True,sourced
100001204,Entreprise 01204 SAS,C,Industrie manufacturière,687,500,999,True,False,,,False,False,False,rejected
100001205,Entreprise 01205 SAS,G,"Commerce, réparation auto",549,500,999,True,True,False,,False,True,True,sourced
100001206,Entreprise 01206 SAS,N,Services administratifs et soutien,13,10,19,False,False,,,False,True,True,contacted
100001207,Entreprise 01207 SAS,G,"Commerce, réparation auto",227,200,249,False,False,,,True,True,True,sourced
100001208,Entreprise 01208 SAS,F,Construction,532,500,999,True,True,True,False,False,False,False,sourced
100001209,Entreprise 01209 SAS,C,Industrie manufacturière,6,6,9,False,False,,,False,True,True,sourced
100001210,Entreprise 01210 SAS,G,"Commerce, réparation auto",4,3,5,False,False,,,False,True,False,sourced
100001211,Entreprise 01211 SAS,S,Autres services,630,500,999,True,False,,,False,False,True,sourced
100001212,Entreprise 01212 SAS,I,Hébergement et restauration,7,6,9,False,False,,,False,False,True,sourced
100001213,Entreprise 01213 SAS,G,"Commerce, réparation auto",227,200,249,False,False,,,False,True,True,contacted
100001214,Entreprise 01214 SAS,G,"Commerce, réparation auto",570,500,999,True,True,True,True,True,False,False,contacted
100001215,Entreprise 01215 SAS,F,Construction,414,250,499,False,False,,,False,False,False,sourced
100001216,Entreprise 01216 SAS,H,Transports et entreposage,203,200,249,False,False,,,True,False,True,sourced
100001217,Entreprise 01217 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,True,True,False,sourced
100001218,Entreprise 01218 SAS,M,Activités spé. scientifiques/techniques,4,3,5,False,False,,,True,True,False,sourced
100001219,Entreprise 01219 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,True,True,True,sourced
100001220,Entreprise 01220 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,True,True,False,sourced
100001221,Entreprise 01221 SAS,I,Hébergement et restauration,13,10,19,False,False,,,False,False,True,qualified
100001222,Entreprise 01222 SAS,J,Information et communication,14,10,19,False,False,,,False,False,True,qualified
100001223,Entreprise 01223 SAS,I,Hébergement et restauration,748,500,999,True,False,,,True,False,True,sourced
100001224,Entreprise 01224 SAS,F,Construction,580,500,999,True,True,False,,False,True,False,sourced
100001225,Entreprise 01225 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,True,True,False,sourced
100001226,Entreprise 01226 SAS,C,Industrie manufacturière,10,10,19,False,False,,,False,True,True,sourced
100001227,Entreprise 01227 SAS,C,Industrie manufacturière,65,50,99,False,False,,,False,False,True,qualified
100001228,Entreprise 01228 SAS,S,Autres services,407,250,499,False,False,,,False,False,True,sourced
100001229,Entreprise 01229 SAS,N,Services administratifs et soutien,387,250,499,False,False,,,True,True,True,sourced
100001230,Entreprise 01230 SAS,F,Construction,119,100,199,False,False,,,False,True,False,sourced
100001231,Entreprise 01231 SAS,H,Transports et entreposage,2,1,2,False,False,,,True,False,True,sourced
100001232,Entreprise 01232 SAS,G,"Commerce, réparation auto",9,6,9,False,False,,,True,False,True,sourced
100001233,Entreprise 01233 SAS,K,Activités financières et assurance,1674,1000,1999,True,False,,,False,False,True,sourced
100001234,Entreprise 01234 SAS,M,Activités spé. scientifiques/techniques,13,10,19,False,False,,,True,True,False,sourced
100001235,Entreprise 01235 SAS,N,Services administratifs et soutien,629,500,999,True,True,False,,True,False,False,sourced
100001236,Entreprise 01236 SAS,C,Industrie manufacturière,24,20,49,False,False,,,False,True,True,sourced
100001237,Entreprise 01237 SAS,Q,Santé humaine et action sociale,228,200,249,False,False,,,False,True,False,sourced
100001238,Entreprise 01238 SAS,F,Construction,17,10,19,False,False,,,False,False,True,sourced
100001239,Entreprise 01239 SAS,F,Construction,39,20,49,False,False,,,False,True,False,sourced
100001240,Entreprise 01240 SAS,F,Construction,7,6,9,False,False,,,False,False,True,qualified
100001241,Entreprise 01241 SAS,G,"Commerce, réparation auto",859,500,999,True,False,,,True,False,False,sourced
100001242,Entreprise 01242 SAS,G,"Commerce, réparation auto",13,10,19,False,False,,,True,True,True,sourced
100001243,Entreprise 01243 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,True,False,True,contacted
100001244,Entreprise 01244 SAS,F,Construction,5,3,5,False,False,,,False,True,False,sourced
100001245,Entreprise 01245 SAS,S,Autres services,17,10,19,False,False,,,False,True,False,qualified
100001246,Entreprise 01246 SAS,G,"Commerce, réparation auto",10,10,19,False,False,,,True,True,True,contacted
100001247,Entreprise 01247 SAS,H,Transports et entreposage,657,500,999,True,True,True,True,True,True,True,sourced
100001248,Entreprise 01248 SAS,G,"Commerce, réparation auto",646,500,999,True,False,,,False,True,True,sourced
100001249,Entreprise 01249 SAS,G,"Commerce, réparation auto",47,20,49,False,False,,,False,False,False,qualified
100001250,Entreprise 01250 SAS,I,Hébergement et restauration,2,1,2,False,False,,,False,False,False,sourced
100001251,Entreprise 01251 SAS,J,Information et communication,12,10,19,False,False,,,False,True,True,sourced
100001252,Entreprise 01252 SAS,F,Construction,88,50,99,False,False,,,False,False,False,contacted
100001253,Entreprise 01253 SAS,Q,Santé humaine et action sociale,41,20,49,False,False,,,False,True,True,sourced
100001254,Entreprise 01254 SAS,G,"Commerce, réparation auto",33,20,49,False,False,,,False,False,False,sourced
100001255,Entreprise 01255 SAS,F,Construction,5,3,5,False,False,,,False,False,True,sourced
100001256,Entreprise 01256 SAS,H,Transports et entreposage,2475,2000,4999,True,True,True,True,True,False,True,sourced
100001257,Entreprise 01257 SAS,C,Industrie manufacturière,1667,1000,1999,True,False,,,True,True,True,qualified
100001258,Entreprise 01258 SAS,G,"Commerce, réparation auto",1372,1000,1999,True,True,True,False,False,True,True,sourced
100001259,Entreprise 01259 SAS,I,Hébergement et restauration,146,100,199,False,False,,,False,True,True,sourced
100001260,Entreprise 01260 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,True,False,sourced
100001261,Entreprise 01261 SAS,C,Industrie manufacturière,59,50,99,False,False,,,False,True,True,sourced
100001262,Entreprise 01262 SAS,C,Industrie manufacturière,3,3,5,False,False,,,False,True,True,contacted
100001263,Entreprise 01263 SAS,I,Hébergement et restauration,410,250,499,False,False,,,False,False,True,contacted
100001264,Entreprise 01264 SAS,G,"Commerce, réparation auto",319,250,499,False,False,,,False,True,True,sourced
100001265,Entreprise 01265 SAS,F,Construction,54,50,99,False,False,,,False,True,True,sourced
100001266,Entreprise 01266 SAS,M,Activités spé. scientifiques/techniques,605,500,999,True,True,False,,False,True,True,sourced
100001267,Entreprise 01267 SAS,I,Hébergement et restauration,150,100,199,False,False,,,False,False,True,sourced
100001268,Entreprise 01268 SAS,G,"Commerce, réparation auto",83,50,99,False,False,,,True,False,False,contacted
100001269,Entreprise 01269 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,False,True,True,sourced
100001270,Entreprise 01270 SAS,F,Construction,29,20,49,False,False,,,False,True,True,sourced
100001271,Entreprise 01271 SAS,C,Industrie manufacturière,824,500,999,True,True,False,,False,True,False,sourced
100001272,Entreprise 01272 SAS,N,Services administratifs et soutien,18,10,19,False,False,,,False,False,False,sourced
100001273,Entreprise 01273 SAS,H,Transports et entreposage,978,500,999,True,True,False,,True,False,True,sourced
100001274,Entreprise 01274 SAS,N,Services administratifs et soutien,261,250,499,False,False,,,False,False,False,sourced
100001275,Entreprise 01275 SAS,J,Information et communication,2,1,2,False,False,,,False,True,True,sourced
100001276,Entreprise 01276 SAS,M,Activités spé. scientifiques/techniques,3235,2000,4999,True,True,True,False,False,True,True,sourced
100001277,Entreprise 01277 SAS,I,Hébergement et restauration,4,3,5,False,False,,,True,False,True,sourced
100001278,Entreprise 01278 SAS,S,Autres services,815,500,999,True,False,,,True,True,False,sourced
100001279,Entreprise 01279 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,False,True,True,sourced
100001280,Entreprise 01280 SAS,F,Construction,22,20,49,False,False,,,False,False,False,sourced
100001281,Entreprise 01281 SAS,M,Activités spé. scientifiques/techniques,219,200,249,False,False,,,False,True,True,sourced
100001282,Entreprise 01282 SAS,G,"Commerce, réparation auto",19,10,19,False,False,,,False,True,True,sourced
100001283,Entreprise 01283 SAS,N,Services administratifs et soutien,19,10,19,False,False,,,False,True,True,contacted
100001284,Entreprise 01284 SAS,Q,Santé humaine et action sociale,10,10,19,False,False,,,True,True,True,sourced
100001285,Entreprise 01285 SAS,S,Autres services,20,20,49,False,False,,,False,False,True,sourced
100001286,Entreprise 01286 SAS,C,Industrie manufacturière,1,1,2,False,False,,,False,False,True,sourced
100001287,Entreprise 01287 SAS,N,Services administratifs et soutien,904,500,999,True,False,,,False,False,False,sourced
100001288,Entreprise 01288 SAS,M,Activités spé. scientifiques/techniques,464,250,499,False,False,,,False,True,True,sourced
100001289,Entreprise 01289 SAS,S,Autres services,43,20,49,False,False,,,True,False,True,qualified
100001290,Entreprise 01290 SAS,N,Services administratifs et soutien,27,20,49,False,False,,,False,True,True,qualified
100001291,Entreprise 01291 SAS,F,Construction,22,20,49,False,False,,,False,True,True,qualified
100001292,Entreprise 01292 SAS,S,Autres services,1,1,2,False,False,,,False,False,False,contacted
100001293,Entreprise 01293 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,True,False,rejected
100001294,Entreprise 01294 SAS,G,"Commerce, réparation auto",348,250,499,False,False,,,True,True,False,sourced
100001295,Entreprise 01295 SAS,I,Hébergement et restauration,92,50,99,False,False,,,False,True,True,sourced
100001296,Entreprise 01296 SAS,G,"Commerce, réparation auto",2397,2000,4999,True,True,True,True,False,True,False,sourced
100001297,Entreprise 01297 SAS,K,Activités financières et assurance,437,250,499,False,False,,,False,True,True,sourced
100001298,Entreprise 01298 SAS,Q,Santé humaine et action sociale,13,10,19,False,False,,,True,True,False,sourced
100001299,Entreprise 01299 SAS,G,"Commerce, réparation auto",117,100,199,False,False,,,False,True,True,contacted
100001300,Entreprise 01300 SAS,C,Industrie manufacturière,511,500,999,True,True,False,,False,False,True,rejected
100001301,Entreprise 01301 SAS,M,Activités spé. scientifiques/techniques,3,3,5,False,False,,,False,True,False,sourced
100001302,Entreprise 01302 SAS,G,"Commerce, réparation auto",15,10,19,False,False,,,False,False,True,qualified
100001303,Entreprise 01303 SAS,J,Information et communication,980,500,999,True,True,True,True,True,False,False,sourced
100001304,Entreprise 01304 SAS,K,Activités financières et assurance,2,1,2,False,False,,,False,False,False,sourced
100001305,Entreprise 01305 SAS,F,Construction,524,500,999,True,True,False,,False,False,False,contacted
100001306,Entreprise 01306 SAS,S,Autres services,6,6,9,False,False,,,True,True,True,sourced
100001307,Entreprise 01307 SAS,S,Autres services,1,1,2,False,False,,,False,True,True,sourced
100001308,Entreprise 01308 SAS,M,Activités spé. scientifiques/techniques,575,500,999,True,True,True,False,False,True,True,sourced
100001309,Entreprise 01309 SAS,F,Construction,485,250,499,False,False,,,True,True,False,sourced
100001310,Entreprise 01310 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,False,True,True,sourced
100001311,Entreprise 01311 SAS,N,Services administratifs et soutien,18,10,19,False,False,,,True,False,True,contacted
100001312,Entreprise 01312 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,True,False,True,qualified
100001313,Entreprise 01313 SAS,M,Activités spé. scientifiques/techniques,18,10,19,False,False,,,True,False,True,sourced
100001314,Entreprise 01314 SAS,S,Autres services,1,1,2,False,False,,,False,True,True,sourced
100001315,Entreprise 01315 SAS,I,Hébergement et restauration,8,6,9,False,False,,,False,True,True,sourced
100001316,Entreprise 01316 SAS,M,Activités spé. scientifiques/techniques,8,6,9,False,False,,,False,False,True,sourced
100001317,Entreprise 01317 SAS,Q,Santé humaine et action sociale,2,1,2,False,False,,,True,False,True,sourced
100001318,Entreprise 01318 SAS,N,Services administratifs et soutien,255,250,499,False,False,,,False,True,False,qualified
100001319,Entreprise 01319 SAS,C,Industrie manufacturière,520,500,999,True,True,False,,True,True,False,sourced
100001320,Entreprise 01320 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,False,True,False,sourced
100001321,Entreprise 01321 SAS,S,Autres services,692,500,999,True,False,,,False,False,True,sourced
100001322,Entreprise 01322 SAS,H,Transports et entreposage,1,1,2,False,False,,,False,False,True,sourced
100001323,Entreprise 01323 SAS,C,Industrie manufacturière,606,500,999,True,False,,,False,True,False,sourced
100001324,Entreprise 01324 SAS,J,Information et communication,269,250,499,False,False,,,False,True,False,sourced
100001325,Entreprise 01325 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,False,True,contacted
100001326,Entreprise 01326 SAS,Q,Santé humaine et action sociale,1436,1000,1999,True,False,,,False,True,False,sourced
100001327,Entreprise 01327 SAS,J,Information et communication,8,6,9,False,False,,,True,False,True,contacted
